date,protocol,symbol,reserve_factor
2026-03-01,Aave V3,USDT,10.0
2026-04-01,Aave V3,USDT,10.0
2026-05-01,Aave V3,USDT,10.0
2022-09-01,Compound V3,USDC,10.033343129679128
2022-10-01,Compound V3,USDC,1.2934716146429937
2022-11-01,Compound V3,USDC,4.533395932957152
2022-12-01,Compound V3,USDC,7.431190061442705
2023-01-01,Compound V3,USDC,18.93982531593884
2023-02-01,Compound V3,USDC,6.962196303051615
2023-03-01,Compound V3,USDC,15.567029015193935
2023-04-01,Compound V3,USDC,7.498970718321862
2023-05-01,Compound V3,USDC,24.17550855196451
2023-06-01,Compound V3,USDC,14.58610962567577
2023-07-01,Compound V3,USDC,14.07679454878612
2023-08-01,Compound V3,USDC,13.288142298537176
2023-09-01,Compound V3,USDC,13.502777158299594
2023-10-01,Compound V3,USDC,9.133229117600038
2023-11-01,Compound V3,USDC,12.233397782084932
2023-12-01,Compound V3,USDC,8.284114235267415
2024-01-01,Compound V3,USDC,19.28976884305059
2024-02-01,Compound V3,USDC,13.718643854773305
2024-03-01,Compound V3,USDC,14.419717753123418
2024-04-01,Compound V3,USDC,9.190617501137154
2024-05-01,Compound V3,USDC,16.53961848127149
2024-06-01,Compound V3,USDC,14.832454729750943
2024-07-01,Compound V3,USDC,0.9990616384312645
2024-08-01,Compound V3,USDC,0.32853627112471306
2024-09-01,Compound V3,USDC,12.672324089362863
2024-10-01,Compound V3,USDC,7.435110432840231
2024-11-01,Compound V3,USDC,6.607195019957912
2024-12-01,Compound V3,USDC,7.30967042477908
2025-01-01,Compound V3,USDC,7.368524525834541
2025-02-01,Compound V3,USDC,2.7265753165048534
2025-03-01,Compound V3,USDC,1.8169474571349986
2025-04-01,Compound V3,USDC,0.7316127102564574
2025-05-01,Compound V3,USDC,8.800904324074299
2025-06-01,Compound V3,USDC,9.299443663653461
2025-07-01,Compound V3,USDC,6.52139590010713
2025-08-01,Compound V3,USDC,7.2021060910446355
2025-09-01,Compound V3,USDC,9.286347221166768
2025-10-01,Compound V3,USDC,9.881740874714385
2025-11-01,Compound V3,USDC,8.234519720882794
2025-12-01,Compound V3,USDC,8.853927312772047
2026-01-01,Compound V3,USDC,9.622339698975257
2026-02-01,Compound V3,USDC,0.17620567614226035
2026-03-01,Compound V3,USDC,0.17620567614226035
2026-04-01,Compound V3,USDC,0.8916837033354219
2026-05-01,Compound V3,USDC,9.21041673503068
2024-07-01,Compound V3,USDT,7.099876856135589
2024-08-01,Compound V3,USDT,7.099876856135589
2024-09-01,Compound V3,USDT,7.092553352998787
2024-10-01,Compound V3,USDT,7.612292852444835
2024-11-01,Compound V3,USDT,12.12456082699741
2024-12-01,Compound V3,USDT,7.801036049740507
2025-01-01,Compound V3,USDT,9.263213594826048
2025-02-01,Compound V3,USDT,7.607372950863622
2025-03-01,Compound V3,USDT,7.607372950863622
2025-04-01,Compound V3,USDT,7.607372950863622
2025-05-01,Compound V3,USDT,8.095368341621544
2025-06-01,Compound V3,USDT,8.522549682576718
2025-07-01,Compound V3,USDT,9.819351542962206
2025-08-01,Compound V3,USDT,9.371878425589452
2025-09-01,Compound V3,USDT,8.885173038791772
2025-10-01,Compound V3,USDT,9.67003053650577
2025-11-01,Compound V3,USDT,4.178333564052128
2025-12-01,Compound V3,USDT,9.850455693779969
2026-01-01,Compound V3,USDT,6.612693649701685
2026-02-01,Compound V3,USDT,6.612693649701685
2026-03-01,Compound V3,USDT,6.612693649701685
2026-04-01,Compound V3,USDT,2.885490797459711
2026-05-01,Compound V3,USDT,5.402919041362997
2024-01-01,Morpho Blue,USDC,0.0
2024-02-01,Morpho Blue,USDC,0.0
2024-03-01,Morpho Blue,USDC,0.0
2024-04-01,Morpho Blue,USDC,0.0
2024-05-01,Morpho Blue,USDC,0.0
2024-06-01,Morpho Blue,USDC,0.0
2024-07-01,Morpho Blue,USDC,0.0
2024-08-01,Morpho Blue,USDC,0.0
2024-09-01,Morpho Blue,USDC,0.0
2024-10-01,Morpho Blue,USDC,0.0
2024-11-01,Morpho Blue,USDC,0.0
2024-12-01,Morpho Blue,USDC,0.0
2025-01-01,Morpho Blue,USDC,0.0
2025-02-01,Morpho Blue,USDC,0.0
2025-03-01,Morpho Blue,USDC,0.0
2025-04-01,Morpho Blue,USDC,0.0
2025-05-01,Morpho Blue,USDC,0.0
2025-06-01,Morpho Blue,USDC,0.0
2025-07-01,Morpho Blue,USDC,0.0
2025-08-01,Morpho Blue,USDC,0.0
2025-09-01,Morpho Blue,USDC,0.0
2025-10-01,Morpho Blue,USDC,0.0
2025-11-01,Morpho Blue,USDC,0.0
2025-12-01,Morpho Blue,USDC,0.0
2026-01-01,Morpho Blue,USDC,0.0
2026-02-01,Morpho Blue,USDC,0.0
2026-03-01,Morpho Blue,USDC,0.0
2026-04-01,Morpho Blue,USDC,0.0
2026-05-01,Morpho Blue,USDC,0.0
2024-01-01,Morpho Blue,USDT,0.0
2024-02-01,Morpho Blue,USDT,0.0
2024-03-01,Morpho Blue,USDT,0.0
2024-04-01,Morpho Blue,USDT,0.0
2024-05-01,Morpho Blue,USDT,0.0
2024-06-01,Morpho Blue,USDT,0.0
2024-07-01,Morpho Blue,USDT,0.0
2024-08-01,Morpho Blue,USDT,0.0
2024-09-01,Morpho Blue,USDT,0.0
2024-10-01,Morpho Blue,USDT,0.0
2024-11-01,Morpho Blue,USDT,0.0
2024-12-01,Morpho Blue,USDT,0.0
2025-01-01,Morpho Blue,USDT,0.0
2025-02-01,Morpho Blue,USDT,0.0
2025-03-01,Morpho Blue,USDT,0.0
2025-04-01,Morpho Blue,USDT,0.0
2025-05-01,Morpho Blue,USDT,0.0
2025-06-01,Morpho Blue,USDT,0.0
2025-07-01,Morpho Blue,USDT,0.0
2025-08-01,Morpho Blue,USDT,0.0
2025-09-01,Morpho Blue,USDT,0.0
2025-10-01,Morpho Blue,USDT,0.0
2025-11-01,Morpho Blue,USDT,0.0
2025-12-01,Morpho Blue,USDT,0.0
2026-01-01,Morpho Blue,USDT,0.0
2026-02-01,Morpho Blue,USDT,0.0
2026-03-01,Morpho Blue,USDT,0.0
2026-04-01,Morpho Blue,USDT,0.0
2026-05-01,Morpho Blue,USDT,0.0
2026-05-01,Spark Lend,USDC,1.0
2026-05-01,Spark Lend,USDT,1.0
